epoch,train_loss,val_loss,val_dice,val_iou
1,1.337780374288559,1.4241074562072753,0.2293700635433197,0.1317896366119385
2,1.1639857321977616,1.1524977207183837,0.8945030093193054,0.8094812035560608
3,1.0661057859659195,1.05661780834198,0.8276067614555359,0.7068859100341797
4,0.9792604476213456,0.9673649907112122,0.9059979796409607,0.8286493062973023
5,0.896245613694191,0.8780050277709961,0.9754393219947814,0.9521397471427917
6,0.815952667593956,0.7904704213142395,0.9716116428375244,0.9448804140090943
7,0.7357474952936173,0.7071779727935791,0.9730332255363464,0.9475502967834473
8,0.6579255759716034,0.6310460329055786,0.9816869378089905,0.9640681862831115
9,0.5820671111345291,0.5622082769870758,0.9855582356452942,0.9715585589408875
10,0.5137270823121071,0.5062192142009735,0.9865708470344543,0.9735284805297851
11,0.447415491938591,0.4257760226726532,0.9919504761695862,0.9840528249740601
12,0.38452849090099334,0.3681110739707947,0.9913345217704773,0.9828441262245178
13,0.32759964242577555,0.3208317279815674,0.9896750688552857,0.9795826435089111
14,0.2775906413793564,0.2782208114862442,0.9934035301208496,0.9869104027748108
15,0.23505271673202516,0.2415113002061844,0.9940891861915588,0.9882652878761291
